0				    
4387				    52.9
4392				    52.9
4395				    51.8
4399				    51.5
4403				    50.0
4407				    49.8
4412				    50.5
4416				    50.5
4419				    50.5
4425				    50.5
4436				    50.5
4447				    49.4
4458				    48.8
4468				    48.8
4480				    48.8
4490				    48.8
4499				    48.8
4507				    42.3
4515				    41.4
4523				    41.4
4531				    41.4
4538				    41.3
4543				    43.6
4548				    43.6
4553				    48.5
4558				    49.7
4562				    53.0
4566				    53.0
4571				    53.0
4575				    53.0
4579				    53.0
4583				    54.0
4587				    54.0
4591				    54.0
4595				    53.9
4598				    54.2
4602				    53.9
4606				    53.9
4611				    53.9
4615				    53.9
4619				    53.9
4623				    52.9
4627				    52.9
4631				    52.9
4635				    60.5
4639				    64.3
4643				    70.0
4647				    71.7
4651				    72.2
4655				    69.9
4659				    69.7
4663				    66.6
4667				    66.2
4672				    66.2
4676				    66.2
4680				    66.2
4684				    66.2
4687				    64.5
4691				    64.5
4695				    57.8
4699				    56.2
4703				    53.0
4707				    53.0
4711				    53.6
4715				    54.5
4719				    54.5
4723				    54.5
4727				    54.8
4731				    54.8
4735				    55.4
4739				    55.3
4743				    55.3
4747				    54.4
4752				    54.4
4756				    52.8
4760				    52.8
4764				    53.8
4768				    53.8
4773				    53.8
4777				    53.8
4781				    53.8
4785				    53.8
4789				    53.8
4793				    52.9
4798				    52.9
4801				    52.9
4806				    52.9
4810				    52.9
4814				    52.9
4818				    52.9
4822				    52.9
4826				    51.3
4830				    51.3
4834				    51.3
4838				    51.3
4842				    51.3
4847				    51.3
4851				    51.3
4855				    49.8
4860				    49.8
4871				    49.8
4882				    49.3
4893				    49.3
4904				    49.3
4915				    49.3
4926				    48.3
4937				    48.3
4947				    48.3
4955				    52.1
4962				    55.4
4970				    55.1
4981				    52.2
4992				    49.7
5003				    49.7
5014				    49.5
5025				    50.2
5036				    51.7
5047				    50.4
5057				    50.4
5068				    50.3
5079				    52.7
5090				    55.2
5101				    54.6
5112				    53.1
5123				    50.4
5132				    51.7
5139				    51.7
5145				    51.1
5151				    51.1
5156				    51.4
5161				    51.4
5166				    50.7
5170				    49.8
5175				    50.1
5180				    49.7
5185				    49.6
5190				    49.3
5195				    49.3
5200				    49.3
5204				    49.3
5209				    48.4
5214				    48.4
