0				    
5128				    11.2
5132				    11.2
5136				    11.2
5140				    11.2
5145				    11.4
5148				    11.4
5152				    11.4
5156				    11.4
5160				    11.7
5164				    11.7
5169				    11.7
5173				    11.7
5178				    11.6
5182				    11.8
5186				    11.8
5191				    11.8
5195				    11.8
5200				    12.3
5204				    12.3
5208				    12.2
5212				    12.2
5217				    11.9
5221				    11.7
5225				    11.7
5230				    12.4
5234				    12.4
5238				    12.4
5242				    12.4
5247				    12.8
5251				    12.7
5255				    12.7
5260				    12.5
5264				    12.5
5268				    12.5
5273				    12.5
5276				    12.5
5281				    12.5
5285				    12.1
5289				    12.1
5294				    12.1
5298				    12.1
5302				    12.1
5307				    11.9
5311				    11.9
5315				    11.9
5319				    11.9
5324				    11.7
5328				    11.7
5332				    11.7
5336				    11.7
5340				    11.5
5343				    11.5
5348				    11.5
5352				    11.4
5356				    11.4
5360				    11.4
5364				    11.4
5368				    11.4
5371				    11.4
5376				    11.4
5380				    11.4
5384				    11.4
5388				    11.4
5392				    10.6
5396				    10.6
5400				    10.6
5404				    10.3
5408				    10.3
5412				    10.3
5416				    10.3
5420				    10.5
5424				    10.5
5428				    10.8
5432				    10.8
5437				    10.7
5441				    10.7
5444				    10.6
5448				    10.6
5452				    10.7
5455				    10.8
5460				    10.8
5464				    10.7
5468				    11.0
5472				    11.0
5477				    11.0
5481				    11.0
5485				    10.9
5489				    10.9
5492				    10.8
5496				    10.8
5500				    10.8
5504				    10.8
5508				    10.8
5512				    11.1
5517				    11.1
5520				    11.1
5524				    11.1
5528				    11.6
5533				    11.6
5537				    11.5
5541				    11.6
5545				    11.6
5550				    11.5
5554				    11.5
5558				    11.3
5562				    11.3
5566				    11.3
5571				    11.3
5575				    10.9
5579				    10.9
5583				    10.9
5587				    10.9
5591				    10.9
5595				    10.9
5599				    10.9
5603				    10.8
5607				    10.8
5611				    10.8
5615				    10.8
5619				    10.8
5624				    10.8
5628				    10.7
5632				    10.7
5635				    10.5
5639				    10.5
5643				    10.5
5647				    10.5
5651				    10.4
5655				    10.4
5659				    10.4
5663				    10.4
5667				    10.3
5671				    10.3
5675				    10.3
5679				    10.1
5684				    10.1
5688				    10.1
5693				    10.1
5697				    10.1
5701				    10.1
5705				    9.5
5709				    9.5
5713				    9.6
5717				    9.6
5721				    9.7
5725				    9.7
5729				    9.7
5733				    9.9
5737				    9.9
5741				    9.9
5744				    9.9
5748				    9.8
5752				    9.8
5757				    9.8
5761				    9.8
5765				    9.8
5769				    9.8
5772				    9.7
5776				    9.7
5780				    9.7
5785				    9.7
5789				    9.9
5793				    9.9
5797				    9.9
5802				    9.9
5805				    10.1
5810				    10.1
5814				    10.1
5818				    10.2
5823				    10.2
5827				    10.2
5831				    10.2
5836				    11.3
5840				    11.3
5844				    11.4
5849				    11.4
5853				    11.4
5857				    11.4
5861				    11.4
5865				    11.4
5870				    11.4
5874				    11.2
5879				    11.2
5883				    11.2
5887				    11.0
5891				    11.0
5895				    10.9
5900				    10.9
5904				    11.1
5907				    11.1
5911				    11.1
5915				    11.1
5919				    11.2
5922				    11.2
5926				    11.1
5930				    11.1
5933				    11.1
5937				    11.1
5941				    10.9
5945				    10.9
5949				    10.9
5953				    10.9
5957				    10.8
5962				    10.8
5966				    10.7
5969				    10.5
5973				    10.5
5977				    10.5
5981				    10.5
5985				    10.6
5989				    10.6
5993				    10.6
5998				    10.6
6002				    10.3
6006				    10.3
6010				    10.3
6015				    10.3
6019				    10.3
6023				    10.3
6027				    9.8
6032				    9.8
6036				    9.8
6040				    9.8
6044				    9.8
6048				    9.8
6052				    9.8
6056				    9.5
6060				    9.5
6064				    9.7
6069				    9.7
6073				    9.7
6077				    9.7
6082				    9.7
6086				    9.8
6091				    9.8
6095				    9.7
6099				    9.7
6104				    9.7
6108				    9.8
6112				    10.1
6116				    10.1
6121				    10.1
6124				    10.2
6128				    10.2
6133				    10.4
6137				    10.4
6141				    10.4
6145				    10.4
6149				    10.4
6153				    10.4
6158				    10.4
6162				    10.4
6166				    10.3
6170				    10.3
6175				    10.5
6179				    10.5
6183				    10.6
6187				    10.6
6192				    10.6
6196				    10.3
6200				    10.3
6204				    10.4
6208				    10.4
6213				    10.5
6217				    10.5
6221				    10.4
6225				    10.4
6229				    10.4
6234				    10.4
6237				    10.4
6242				    10.4
6246				    10.3
6250				    10.3
6254				    9.9
6258				    9.9
6263				    9.9
6267				    9.9
6271				    10.0
6275				    10.0
6280				    10.0
6284				    10.2
6288				    10.2
6293				    10.2
6297				    10.2
6301				    10.2
6306				    10.0
6310				    10.0
6314				    9.9
6318				    9.9
6322				    10.0
6327				    10.3
6331				    10.3
6335				    10.3
6340				    10.3
6344				    10.3
6348				    10.3
6352				    10.3
6357				    10.3
6361				    10.3
6365				    10.3
6369				    10.3
6373				    10.3
6377				    10.6
6381				    10.6
6385				    10.7
6388				    10.7
6392				    10.9
6396				    10.9
6400				    10.9
6405				    10.9
6409				    10.9
6413				    11.1
6417				    11.1
6422				    11.1
6426				    11.0
6430				    11.0
6434				    11.1
6439				    11.1
6442				    11.1
6446				    10.7
6450				    10.8
6454				    10.8
6458				    10.8
6462				    10.9
6466				    10.9
6470				    10.9
6474				    10.9
6478				    10.9
6482				    10.9
6487				    10.2
6491				    10.2
6495				    10.2
6500				    10.1
6504				    10.5
6508				    10.5
6512				    10.5
6516				    10.7
6520				    10.7
6524				    10.7
6528				    10.7
6532				    10.7
6536				    10.7
6540				    10.7
6544				    10.5
6548				    10.5
6552				    10.4
6556				    10.4
6560				    10.5
6564				    10.5
6568				    10.7
